Comp_OID,Symbolic_name,CodingSystemName,SubmitterFirst,SubmitterLast,Submitter_Email,Submitter2,Contact_person_desc,Contact_person_address,Contact_person_phone,Contact_person_email,Contact_person_info,Resp_body_name,Resp_body_address,Resp_body_phone,Resp_body_email,Resp_body_URL,Resp_body_Type,Resp_body_oid,External_OID_flag,externalOIDsubType,replacedBy,Oid_Type,assignment_status,AA_OID,AA_description,Object_description,Date_begun,Date_finalized,Entry_Timestamp,T396mnemonic,Preferred_Realm
2.16.840.1.113883,HL7,,,,masked,,,,,masked,,,,,,,,,Int,,,0,Complete,,,Root of Health Level Seven?s Object Identifier subtree., , , ,,UV
2.16.840.1.113883.1,internalHL7objects,,,,masked,,,,,masked,,,,,,,,,Int,,,1,Complete,,,"HL7 Internal Objects (HMDs, rMIMs, etc.)", , , ,,UV
2.16.840.1.113883.1.1,REGOBJECTS,,,,masked,,,,,masked,,,,,,,,,Int,,,1,Complete,,,Coding System of HL7 OID registered objects, , , ,,UV
2.16.840.1.113883.1.2,CMET,,,,masked,,,,,masked,,,,,,,,,Int,,,1,Complete,,,HL7 Registered CMETs, , , ,,UV
2.16.840.1.113883.1.3,RMIM,,,,masked,,,,,masked,,,,,,,,,Int,,,1,Complete,,,HL7 Registered RMIMs, , , ,,UV
2.16.840.1.113883.1.4,CLASS,,,,masked,,,,,masked,,,,,,,,,Int,,,1,Complete,,,HL7 Registered RIM Classes, , , ,,UV
2.16.840.1.113883.1.5,ATTRIBUTE,,,,masked,,,,,masked,,,,,,,,,Int,,,1,Complete,,,HL7 Registered RIM Attributes, , , ,,UV
2.16.840.1.113883.2,hl7organizationalBodies,,,,masked,,,,,masked,,,,,,,,,Int,,,2,Complete,,,"HL7 Organization Bodies - TCs, SIGs, groups, others that are part of the HL7 organization", , , ,,UV
2.16.840.1.113883.3,externalUseRoots,Roots For Delegated Registration Authorities,,,masked,,,,,masked,,HL7,,,,,,2.16.840.1.113883,Int,,,3,Complete,2.16.840.1.113883,HL7,"OID roots for local assignment given to HL7 members, users, and vendors who wish to act as their own local Registration Authorities.", , , ,,UV
2.16.840.1.113883.3.1,ProVation,,W. Ted,Klein,masked,,Steve Swenson,,612-313-1500,masked,,ProVation Medical,"800 Washington Ave. North  Suite 400  Minneapolis, MN  55401",,,,Vendor,2.16.840.1.113883.3.1,Int,,,3,Complete,2.16.840.1.113883,HL7,"OID root for Provation Medical, Inc (formerly cMore Medical Solutions, Inc.)",1/05/2001 12:00,5/05/2001 12:00, ,,UV
2.16.840.1.113883.4,commonPublicNamespaces,Identifier Systems - Namespaces,,,masked,,,,,masked,,,,,,,,,Int,14,,4,Complete,,,HL7 specified root for commonly used external identifier systems (eg Alabama Dirvers license Numbers), , , ,,UV
2.16.840.1.113883.4.1,ssn,United States of America Social Security Numbers,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,HL7,United States Social Security Number (SSN).  Assigned by the U.S. Social Security Administration.  Note: IRS assigned ITINs are often used as drop-ins for social security numbers., , , ,,UV
2.16.840.1.113883.4.2,tin,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,United States Individual Taxpayer Identification Number (ITIN).  Assigned by the U.S. Internal Revenue Service (IRS) to alien taxpayers not eligible to a social security number.  ITIN are used as drop-ins for Social Security Numbers., , , ,,UV
2.16.840.1.113883.4.3.40,OklahomaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Oklahoma Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.49,UtahDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Utah Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.38,NorthDakotaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,North Dakota Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.37,NorthCarolinaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,North Carolina Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.36,NewYorkDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,New York Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.35,NewMexicoDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,New Mexico Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.34,NewJerseyDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,New Jersey Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.48,TexasDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Texas Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.32,NevadaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Nevada Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.39,OhioDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Ohio Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.15,HawaiiDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Hawaii Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.51,VirginiaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Virginia Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.53,WashingtonDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Washington Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.54,WestVirginiaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,West Virginia Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.55,WisconsinDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Wisconsin Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.56,WyomingDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Wyoming Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.42,PennsylvaniaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Pennsylvania Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.47,TennesseeDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Tennessee Motor Vehicle Bureau, , , ,,UV
